,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
81,81.0,0.925,0.961,0.905,0.864,0.949,0.884,0.956,0.951,0.961,0.954,0.9309999942779541,0.0,0.9954999685287476
82,82.0,0.94,0.963,0.905,0.897,0.942,0.86,0.956,0.947,0.965,0.944,0.9318999648094177,0.0,0.994879961013794
83,83.0,0.938,0.961,0.898,0.861,0.951,0.874,0.95,0.952,0.961,0.949,0.9294999837875366,0.0,0.9959399700164795
84,84.0,0.961,0.962,0.912,0.85,0.945,0.889,0.963,0.957,0.961,0.945,0.934499979019165,0.0,0.9959399700164795
85,85.0,0.945,0.958,0.905,0.88,0.942,0.868,0.957,0.954,0.955,0.946,0.9309999942779541,0.0,0.9951199889183044
86,86.0,0.943,0.962,0.915,0.849,0.95,0.883,0.952,0.951,0.957,0.945,0.9307000041007996,0.0,0.9959200024604797
87,87.0,0.94,0.968,0.897,0.868,0.951,0.899,0.955,0.94,0.955,0.944,0.9316999912261963,0.0,0.9956599473953247
88,88.0,0.94,0.969,0.917,0.872,0.941,0.873,0.965,0.949,0.955,0.947,0.9327999949455261,0.0,0.9961999654769897
89,89.0,0.945,0.963,0.908,0.86,0.947,0.89,0.961,0.944,0.963,0.955,0.9335999488830566,0.0,0.996679961681366
90,90.0,0.937,0.97,0.902,0.85,0.944,0.906,0.957,0.947,0.964,0.944,0.9320999979972839,0.0,0.9957199692726135
91,91.0,0.952,0.962,0.91,0.853,0.952,0.886,0.949,0.944,0.965,0.954,0.932699978351593,0.0,0.9961599707603455
92,92.0,0.949,0.957,0.903,0.859,0.946,0.865,0.956,0.944,0.957,0.959,0.9294999837875366,0.0,0.9960999488830566
93,93.0,0.939,0.963,0.916,0.861,0.945,0.864,0.963,0.944,0.964,0.946,0.9304999709129333,0.0,0.9961999654769897
94,94.0,0.942,0.958,0.916,0.862,0.955,0.86,0.958,0.949,0.959,0.944,0.9302999973297119,0.0,0.9964799880981445
95,95.0,0.942,0.965,0.915,0.871,0.937,0.874,0.95,0.951,0.966,0.951,0.9321999549865723,0.0,0.9963799715042114
96,96.0,0.944,0.963,0.904,0.874,0.927,0.874,0.964,0.937,0.955,0.949,0.929099977016449,0.0,0.9967599511146545
97,97.0,0.939,0.968,0.912,0.869,0.945,0.855,0.959,0.951,0.973,0.935,0.9305999875068665,0.0,0.9962799549102783
98,98.0,0.935,0.958,0.912,0.878,0.947,0.872,0.956,0.94,0.962,0.966,0.9325999617576599,0.0,0.9964599609375
99,99.0,0.926,0.962,0.903,0.863,0.939,0.879,0.956,0.948,0.965,0.955,0.9296000003814697,0.0,0.9964399933815002
