,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
89,89.0,0.927,0.958,0.857,0.781,0.922,0.856,0.949,0.935,0.957,0.95,0.9091999530792236,0.0,1.0
90,90.0,0.932,0.957,0.86,0.788,0.918,0.85,0.95,0.942,0.955,0.944,0.9095999598503113,0.0,1.0
91,91.0,0.928,0.959,0.858,0.809,0.916,0.847,0.946,0.938,0.954,0.946,0.910099983215332,0.0,1.0
92,92.0,0.934,0.959,0.861,0.776,0.924,0.861,0.946,0.937,0.949,0.948,0.909500002861023,0.0,1.0
93,93.0,0.928,0.957,0.847,0.794,0.919,0.858,0.947,0.953,0.955,0.937,0.909500002861023,0.0,1.0
94,94.0,0.934,0.958,0.86,0.8,0.918,0.851,0.937,0.941,0.947,0.949,0.909500002861023,0.0,1.0
95,95.0,0.925,0.958,0.871,0.808,0.916,0.843,0.95,0.934,0.952,0.95,0.9106999635696411,0.0,1.0
96,96.0,0.931,0.957,0.865,0.809,0.925,0.834,0.939,0.943,0.957,0.94,0.9099999666213989,0.0,1.0
97,97.0,0.922,0.957,0.85,0.801,0.922,0.846,0.95,0.94,0.95,0.951,0.9088999629020691,0.0,1.0
98,98.0,0.927,0.958,0.866,0.812,0.913,0.836,0.944,0.943,0.95,0.948,0.9096999764442444,0.0,1.0
99,99.0,0.929,0.959,0.855,0.797,0.906,0.854,0.949,0.945,0.949,0.945,0.9088000059127808,0.0,1.0
