,epoch,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,average,valid_acc,train_acc
66,66.0,0.896,0.955,0.858,0.799,0.925,0.865,0.936,0.947,0.947,0.942,0.9070000052452087,0.0,1.0
67,67.0,0.901,0.951,0.867,0.816,0.914,0.876,0.933,0.927,0.95,0.939,0.9073999524116516,0.0,1.0
68,68.0,0.9,0.951,0.878,0.835,0.917,0.834,0.927,0.935,0.94,0.949,0.9065999984741211,0.0,1.0
69,69.0,0.899,0.953,0.87,0.825,0.923,0.839,0.933,0.939,0.944,0.943,0.9067999720573425,0.0,1.0
70,70.0,0.899,0.951,0.871,0.832,0.919,0.831,0.937,0.932,0.941,0.947,0.9059999585151672,0.0,1.0
71,71.0,0.903,0.948,0.871,0.825,0.922,0.848,0.921,0.935,0.946,0.947,0.9065999984741211,0.0,1.0
72,72.0,0.898,0.958,0.867,0.837,0.918,0.845,0.928,0.929,0.935,0.941,0.9055999517440796,0.0,1.0
73,73.0,0.896,0.948,0.869,0.819,0.921,0.863,0.932,0.933,0.946,0.943,0.9070000052452087,0.0,1.0
74,74.0,0.892,0.958,0.869,0.829,0.914,0.84,0.936,0.928,0.951,0.937,0.9053999781608582,0.0,1.0
75,75.0,0.886,0.953,0.865,0.827,0.919,0.852,0.929,0.928,0.93,0.95,0.9038999676704407,0.0,1.0
76,76.0,0.904,0.95,0.881,0.829,0.922,0.843,0.935,0.921,0.936,0.943,0.9063999652862549,0.0,1.0
77,77.0,0.9,0.952,0.876,0.825,0.923,0.838,0.93,0.934,0.937,0.945,0.9059999585151672,0.0,1.0
78,78.0,0.887,0.952,0.875,0.81,0.927,0.861,0.935,0.929,0.944,0.94,0.9059999585151672,0.0,1.0
79,79.0,0.903,0.949,0.861,0.822,0.921,0.86,0.931,0.935,0.946,0.947,0.9074999690055847,0.0,1.0
80,80.0,0.892,0.95,0.862,0.836,0.922,0.842,0.933,0.935,0.947,0.952,0.9070999622344971,0.0,1.0
81,81.0,0.908,0.955,0.855,0.828,0.926,0.846,0.931,0.938,0.942,0.942,0.9070999622344971,0.0,1.0
82,82.0,0.899,0.96,0.873,0.823,0.933,0.853,0.927,0.932,0.943,0.934,0.9077000021934509,0.0,1.0
83,83.0,0.9,0.951,0.863,0.829,0.925,0.836,0.936,0.933,0.948,0.943,0.9063999652862549,0.0,1.0
84,84.0,0.906,0.955,0.867,0.826,0.926,0.854,0.925,0.941,0.94,0.943,0.90829998254776,0.0,1.0
85,85.0,0.907,0.949,0.867,0.834,0.913,0.825,0.94,0.945,0.941,0.947,0.9067999720573425,0.0,1.0
86,86.0,0.897,0.957,0.875,0.819,0.924,0.858,0.927,0.933,0.94,0.942,0.9071999788284302,0.0,1.0
87,87.0,0.892,0.954,0.858,0.826,0.927,0.851,0.929,0.94,0.949,0.941,0.9066999554634094,0.0,1.0
88,88.0,0.919,0.953,0.854,0.821,0.925,0.856,0.934,0.95,0.939,0.946,0.9096999764442444,0.0,1.0
89,89.0,0.9,0.948,0.874,0.823,0.925,0.851,0.933,0.931,0.945,0.946,0.9075999855995178,0.0,1.0
90,90.0,0.913,0.952,0.874,0.815,0.928,0.853,0.94,0.933,0.943,0.936,0.9086999893188477,0.0,1.0
91,91.0,0.906,0.953,0.866,0.821,0.924,0.859,0.934,0.93,0.942,0.946,0.9080999493598938,0.0,1.0
92,92.0,0.912,0.952,0.864,0.82,0.925,0.86,0.935,0.93,0.936,0.947,0.9080999493598938,0.0,1.0
93,93.0,0.907,0.948,0.859,0.82,0.927,0.863,0.933,0.947,0.948,0.943,0.909500002861023,0.0,1.0
94,94.0,0.913,0.946,0.871,0.82,0.926,0.856,0.927,0.939,0.938,0.947,0.90829998254776,0.0,1.0
95,95.0,0.901,0.947,0.879,0.823,0.928,0.854,0.936,0.932,0.942,0.949,0.9090999960899353,0.0,1.0
96,96.0,0.905,0.947,0.874,0.835,0.928,0.828,0.923,0.941,0.947,0.943,0.9070999622344971,0.0,1.0
97,97.0,0.893,0.948,0.866,0.822,0.931,0.85,0.934,0.938,0.94,0.953,0.9074999690055847,0.0,1.0
98,98.0,0.903,0.944,0.875,0.83,0.928,0.846,0.933,0.935,0.94,0.948,0.9081999659538269,0.0,1.0
99,99.0,0.916,0.953,0.861,0.83,0.909,0.846,0.936,0.938,0.94,0.945,0.9073999524116516,0.0,1.0
